chi_0,chi
-89.19892,NaN
-89.17892,NaN
-89.15891,NaN
-89.13892,NaN
-89.11891,NaN
-89.09891,NaN
-89.07891,NaN
-89.05891,NaN
-89.03890,NaN
-89.01891,NaN
-88.99890,NaN
-88.97890,NaN
-88.95889,NaN
-88.93890,NaN
-88.91889,NaN
-88.89889,NaN
-88.87889,NaN
-88.85889,NaN
-88.83888,NaN
-88.81888,NaN
-88.79888,NaN
-88.77888,NaN
-88.75887,NaN
-88.73888,NaN
-88.71887,NaN
-88.69887,NaN
-88.67887,NaN
-88.65887,NaN
-88.63886,NaN
-88.61887,NaN
-88.59886,NaN
-88.57886,NaN
-88.55885,NaN
-88.53886,NaN
-88.51885,NaN
-88.49885,NaN
-88.47885,NaN
-88.45885,NaN
-88.43884,NaN
-88.41884,NaN
-88.39884,NaN
-88.37884,NaN
-88.35883,NaN
-88.33884,NaN
-88.31883,NaN
-88.29883,NaN
-88.27882,NaN
-88.25883,NaN
-88.23882,NaN
-88.21882,NaN
-88.19882,NaN
-88.17882,NaN
-88.15881,NaN
-88.13882,NaN
-88.11881,NaN
-88.09881,NaN
-88.07881,NaN
-88.05881,NaN
-88.03880,NaN
-88.01880,NaN
-87.99880,NaN
-87.97880,NaN
-87.95879,NaN
-87.93880,NaN
-87.91879,NaN
-87.89879,NaN
-87.87878,NaN
-87.85879,NaN
-87.83878,NaN
-87.81878,NaN
-87.79878,NaN
-87.77878,NaN
-87.75877,NaN
-87.73878,NaN
-87.71877,NaN
-87.69877,NaN
-87.67877,NaN
-87.65877,NaN
-87.63876,NaN
-87.61876,NaN
-87.59876,NaN
-87.57876,NaN
-87.55875,NaN
-87.53876,NaN
-87.51875,NaN
-87.49875,NaN
-87.47874,NaN
-87.45875,NaN
-87.43874,NaN
-87.41874,NaN
-87.39874,NaN
-87.37874,NaN
-87.35873,NaN
-87.33873,NaN
-87.31873,NaN
-87.29873,NaN
-87.27873,NaN
-87.25873,NaN
-87.23872,NaN
-87.21872,NaN
-87.19872,NaN
-87.17872,NaN
-87.15871,NaN
-87.13872,NaN
-87.11871,NaN
-87.09871,NaN
-87.07870,NaN
-87.05871,NaN
-87.03870,NaN
-87.01870,NaN
-86.99870,NaN
-86.97870,NaN
-86.95869,NaN
-86.93869,NaN
-86.91869,NaN
-86.89869,NaN
-86.87868,NaN
-86.85869,NaN
-86.83868,NaN
-86.81868,NaN
-86.79868,NaN
-86.77868,NaN
-86.75867,NaN
-86.73868,NaN
-86.71867,NaN
-86.69867,NaN
-86.67867,NaN
-86.65867,NaN
-86.63866,NaN
-86.61866,NaN
-86.59866,NaN
-86.57866,NaN
-86.55865,NaN
-86.53865,NaN
-86.51865,NaN
-86.49865,NaN
-86.47865,NaN
-86.45865,NaN
-86.43864,NaN
-86.41864,NaN
-86.39864,NaN
-86.37864,NaN
-86.35863,NaN
-86.33863,NaN
-86.31863,NaN
-86.29863,NaN
-86.27863,NaN
-86.25863,NaN
-86.23862,NaN
-86.21862,NaN
-86.19862,NaN
-86.17862,NaN
-86.15862,NaN
-86.13861,NaN
-86.11861,NaN
-86.09861,NaN
-86.07861,NaN
-86.05861,NaN
-86.03860,NaN
-86.01860,NaN
-85.99860,NaN
-85.97860,NaN
-85.95860,NaN
-85.93859,NaN
-85.91859,NaN
-85.89859,NaN
-85.87859,NaN
-85.85859,NaN
-85.83858,NaN
-85.81858,NaN
-85.79858,NaN
-85.77858,NaN
-85.75858,NaN
-85.73857,NaN
-85.71857,NaN
-85.69857,NaN
-85.67857,NaN
-85.65857,NaN
-85.63857,NaN
-85.61856,NaN
-85.59856,NaN
-85.57856,NaN
-85.55856,NaN
-85.53855,NaN
-85.51855,NaN
-85.49855,NaN
-85.47855,NaN
-85.45854,NaN
-85.43855,NaN
-85.41854,NaN
-85.39854,NaN
-85.37854,NaN
-85.35854,NaN
-85.33853,NaN
-85.31853,NaN
-85.29853,NaN
-85.27853,NaN
-85.25853,NaN
-85.23853,NaN
-85.21852,NaN
-85.19852,NaN
-85.17852,NaN
-85.15852,NaN
-85.13851,NaN
-85.11852,NaN
-85.09851,NaN
-85.07851,NaN
-85.05850,NaN
-85.03851,NaN
-85.01850,NaN
-84.99850,NaN
-84.97850,NaN
-84.95850,NaN
-84.93849,NaN
-84.91849,NaN
-84.89849,NaN
-84.87849,NaN
-84.85849,NaN
-84.83849,NaN
-84.81848,NaN
-84.79848,NaN
-84.77848,NaN
-84.75848,NaN
-84.73847,NaN
-84.71848,NaN
-84.69847,NaN
-84.67847,NaN
-84.65846,NaN
-84.63847,NaN
-84.61846,NaN
-84.59846,NaN
-84.57846,NaN
-84.55846,NaN
-84.53845,NaN
-84.51845,NaN
-84.49845,NaN
-84.47845,NaN
-84.45845,NaN
-84.43845,NaN
-84.41844,NaN
-84.39844,NaN
-84.37844,NaN
-84.35844,NaN
-84.33843,NaN
-84.31844,NaN
-84.29843,NaN
-84.27843,NaN
-84.25842,NaN
-84.23843,NaN
-84.21842,NaN
-84.19842,NaN
-84.17842,NaN
-84.15842,NaN
-84.13841,NaN
-84.11841,NaN
-84.09841,NaN
-84.07841,NaN
-84.05840,NaN
-84.03841,NaN
-84.01840,NaN
-83.99840,NaN
-83.97839,NaN
-83.95840,NaN
-83.93839,NaN
-83.91839,NaN
-83.89839,NaN
-83.87839,NaN
-83.85838,NaN
-83.83839,NaN
-83.81838,NaN
-83.79838,NaN
-83.77838,NaN
-83.75838,NaN
-83.73837,NaN
-83.71837,NaN
-83.69837,NaN
-83.67837,NaN
-83.65836,NaN
-83.63837,NaN
-83.61836,NaN
-83.59836,NaN
-83.57835,NaN
-83.55836,NaN
-83.53835,NaN
-83.51836,NaN
-83.49835,NaN
-83.47835,NaN
-83.45834,NaN
-83.43835,NaN
-83.41834,NaN
-83.39834,NaN
-83.37834,NaN
-83.35834,NaN
-83.33833,NaN
-83.31833,NaN
-83.29833,NaN
-83.27833,NaN
-83.25832,NaN
-83.23833,NaN
-83.21832,NaN
-83.19832,NaN
-83.17831,NaN
-83.15832,NaN
-83.13831,NaN
-83.11832,NaN
-83.09831,NaN
-83.07831,NaN
-83.05830,NaN
-83.03830,NaN
-83.01830,NaN
-82.99830,NaN
-82.97830,NaN
-82.95830,NaN
-82.93829,NaN
-82.91829,NaN
-82.89829,NaN
-82.87829,NaN
-82.85828,NaN
-82.83829,NaN
-82.81828,NaN
-82.79828,NaN
-82.77827,NaN
-82.75828,NaN
-82.73827,NaN
-82.71828,NaN
-82.69827,NaN
-82.67827,NaN
-82.65826,NaN
-82.63826,NaN
-82.61826,NaN
-82.59826,NaN
-82.57826,NaN
-82.55826,NaN
-82.53825,NaN
-82.51825,NaN
-82.49825,NaN
-82.47825,NaN
-82.45824,NaN
-82.43825,NaN
-82.41824,NaN
-82.39824,NaN
-82.37823,NaN
-82.35823,NaN
-82.33823,NaN
-82.31823,NaN
-82.29823,NaN
-82.27823,NaN
-82.25822,NaN
-82.23822,NaN
-82.21822,NaN
-82.19822,NaN
-82.17822,NaN
-82.15822,NaN
-82.13821,NaN
-82.11821,NaN
-82.09821,NaN
-82.07821,NaN
-82.05820,NaN
-82.03821,NaN
-82.01820,NaN
-81.99820,NaN
-81.97820,NaN
-81.95819,NaN
-81.93819,NaN
-81.91819,NaN
-81.89819,NaN
-81.87819,NaN
-81.85818,NaN
-81.83818,NaN
-81.81818,NaN
-81.79818,NaN
-81.77818,NaN
-81.75818,NaN
-81.73817,NaN
-81.71817,NaN
-81.69817,NaN
-81.67817,NaN
-81.65816,NaN
-81.63816,NaN
-81.61816,NaN
-81.59816,NaN
-81.57816,NaN
-81.55815,NaN
-81.53815,NaN
-81.51815,NaN
-81.49815,NaN
-81.47815,NaN
-81.45815,NaN
-81.43814,NaN
-81.41814,NaN
-81.39814,NaN
-81.37814,NaN
-81.35814,NaN
-81.33813,NaN
-81.31813,NaN
-81.29813,NaN
-81.27813,NaN
-81.25813,NaN
-81.23812,NaN
