i, r, v, t, mu, chi
249, 10.00000, 30.00000, 0.18546, 48000.00000, 6.16714
250, 10.00000, 30.00000, 0.18620, 48000.00000, 6.26160
251, 10.00000, 30.00000, 0.18695, 48000.00000, 6.36166
252, 10.00000, 30.00000, 0.18769, 48000.00000, 6.46792
253, 10.00000, 30.00000, 0.18844, 48000.00000, 6.58103
254, 10.00000, 30.00000, 0.18918, 48000.00000, 6.70158
255, 10.00000, 30.00000, 0.18992, 48000.00000, 6.83008
256, 10.00000, 30.00000, 0.19067, 48000.00000, 6.96675
257, 10.00000, 30.00000, 0.19141, 48000.00000, 7.11136
258, 10.00000, 30.00000, 0.19216, 48000.00000, 7.26294
259, 10.00000, 30.00000, 0.19290, 48000.00000, 7.41968
260, 10.00000, 30.00000, 0.19365, 48000.00000, 7.57891
261, 10.00000, 30.00000, 0.19439, 48000.00000, 7.73751
262, 10.00000, 30.00000, 0.19514, 48000.00000, 7.89248
263, 10.00000, 30.00000, 0.19588, 48000.00000, 8.04146
264, 10.00000, 30.00000, 0.19663, 48000.00000, 8.18297
265, 10.00000, 30.00000, 0.19737, 48000.00000, 8.31639
266, 10.00000, 30.00000, 0.19812, 48000.00000, 8.44168
267, 10.00000, 30.00000, 0.19886, 48000.00000, 8.55920
268, 10.00000, 30.00000, 0.19961, 48000.00000, 8.66951
269, 10.00000, 30.00000, 0.20035, 48000.00000, 8.77323
270, 10.00000, 30.00000, 0.20110, 48000.00000, 8.87099
271, 10.00000, 30.00000, 0.20184, 48000.00000, 8.96338
272, 10.00000, 30.00000, 0.20259, 48000.00000, 9.05093
273, 10.00000, 30.00000, 0.20333, 48000.00000, 9.13413
274, 10.00000, 30.00000, 0.20408, 48000.00000, 9.21341
275, 10.00000, 30.00000, 0.20482, 48000.00000, 9.28913
276, 10.00000, 30.00000, 0.20557, 48000.00000, 9.36163
277, 10.00000, 30.00000, 0.20631, 48000.00000, 9.43121
278, 10.00000, 30.00000, 0.20706, 48000.00000, 9.49810
279, 10.00000, 30.00000, 0.20780, 48000.00000, 9.56255
280, 10.00000, 30.00000, 0.20854, 48000.00000, 9.62475
281, 10.00000, 30.00000, 0.20929, 48000.00000, 9.68487
282, 10.00000, 30.00000, 0.21003, 48000.00000, 9.74308
283, 10.00000, 30.00000, 0.21078, 48000.00000, 9.79951
284, 10.00000, 30.00000, 0.21152, 48000.00000, 9.85429
285, 10.00000, 30.00000, 0.21227, 48000.00000, 9.90753
286, 10.00000, 30.00000, 0.21301, 48000.00000, 9.95934
287, 10.00000, 30.00000, 0.21376, 48000.00000, 10.00981
288, 10.00000, 30.00000, 0.21450, 48000.00000, 10.05902
289, 10.00000, 30.00000, 0.21525, 48000.00000, 10.10705
290, 10.00000, 30.00000, 0.21599, 48000.00000, 10.15397
291, 10.00000, 30.00000, 0.21674, 48000.00000, 10.19984
292, 10.00000, 30.00000, 0.21748, 48000.00000, 10.24472
293, 10.00000, 30.00000, 0.21823, 48000.00000, 10.28866
294, 10.00000, 30.00000, 0.21897, 48000.00000, 10.33172
295, 10.00000, 30.00000, 0.21972, 48000.00000, 10.37393
296, 10.00000, 30.00000, 0.22046, 48000.00000, 10.41535
297, 10.00000, 30.00000, 0.22121, 48000.00000, 10.45600
298, 10.00000, 30.00000, 0.22195, 48000.00000, 10.49593
299, 10.00000, 30.00000, 0.22270, 48000.00000, 10.53516
300, 10.00000, 30.00000, 0.22344, 48000.00000, 10.57374
301, 10.00000, 30.00000, 0.22419, 48000.00000, 10.61168
302, 10.00000, 30.00000, 0.22493, 48000.00000, 10.64903
303, 10.00000, 30.00000, 0.22568, 48000.00000, 10.68579
304, 10.00000, 30.00000, 0.22642, 48000.00000, 10.72200
305, 10.00000, 30.00000, 0.22717, 48000.00000, 10.75768
306, 10.00000, 30.00000, 0.22791, 48000.00000, 10.79285
307, 10.00000, 30.00000, 0.22865, 48000.00000, 10.82753
308, 10.00000, 30.00000, 0.22940, 48000.00000, 10.86174
309, 10.00000, 30.00000, 0.23014, 48000.00000, 10.89549
310, 10.00000, 30.00000, 0.23089, 48000.00000, 10.92880
311, 10.00000, 30.00000, 0.23163, 48000.00000, 10.96170
312, 10.00000, 30.00000, 0.23238, 48000.00000, 10.99418
313, 10.00000, 30.00000, 0.23312, 48000.00000, 11.02628
314, 10.00000, 30.00000, 0.23387, 48000.00000, 11.05799
315, 10.00000, 30.00000, 0.23461, 48000.00000, 11.08934
316, 10.00000, 30.00000, 0.23536, 48000.00000, 11.12033
317, 10.00000, 30.00000, 0.23610, 48000.00000, 11.15099
318, 10.00000, 30.00000, 0.23685, 48000.00000, 11.18130
319, 10.00000, 30.00000, 0.23759, 48000.00000, 11.21130
320, 10.00000, 30.00000, 0.23834, 48000.00000, 11.24099
321, 10.00000, 30.00000, 0.23908, 48000.00000, 11.27037
322, 10.00000, 30.00000, 0.23983, 48000.00000, 11.29946
323, 10.00000, 30.00000, 0.24057, 48000.00000, 11.32827
324, 10.00000, 30.00000, 0.24132, 48000.00000, 11.35680
325, 10.00000, 30.00000, 0.24206, 48000.00000, 11.38506
326, 10.00000, 30.00000, 0.24281, 48000.00000, 11.41306
327, 10.00000, 30.00000, 0.24355, 48000.00000, 11.44081
328, 10.00000, 30.00000, 0.24430, 48000.00000, 11.46831
329, 10.00000, 30.00000, 0.24504, 48000.00000, 11.49557
330, 10.00000, 30.00000, 0.24579, 48000.00000, 11.52260
331, 10.00000, 30.00000, 0.24653, 48000.00000, 11.54941
332, 10.00000, 30.00000, 0.24727, 48000.00000, 11.57599
333, 10.00000, 30.00000, 0.24802, 48000.00000, 11.60235
334, 10.00000, 30.00000, 0.24876, 48000.00000, 11.62851
335, 10.00000, 30.00000, 0.24951, 48000.00000, 11.65446
336, 10.00000, 30.00000, 0.25025, 48000.00000, 11.68022
337, 10.00000, 30.00000, 0.25100, 48000.00000, 11.70577
338, 10.00000, 30.00000, 0.25174, 48000.00000, 11.73114
339, 10.00000, 30.00000, 0.25249, 48000.00000, 11.75633
340, 10.00000, 30.00000, 0.25323, 48000.00000, 11.78133
341, 10.00000, 30.00000, 0.25398, 48000.00000, 11.80615
342, 10.00000, 30.00000, 0.25472, 48000.00000, 11.83081
343, 10.00000, 30.00000, 0.25547, 48000.00000, 11.85529
344, 10.00000, 30.00000, 0.25621, 48000.00000, 11.87961
345, 10.00000, 30.00000, 0.25696, 48000.00000, 11.90377
346, 10.00000, 30.00000, 0.25770, 48000.00000, 11.92778
347, 10.00000, 30.00000, 0.25845, 48000.00000, 11.95163
348, 10.00000, 30.00000, 0.25919, 48000.00000, 11.97532
349, 10.00000, 30.00000, 0.25994, 48000.00000, 11.99887
350, 10.00000, 30.00000, 0.26068, 48000.00000, 12.02228
351, 10.00000, 30.00000, 0.26143, 48000.00000, 12.04555
352, 10.00000, 30.00000, 0.26217, 48000.00000, 12.06868
353, 10.00000, 30.00000, 0.26292, 48000.00000, 12.09167
354, 10.00000, 30.00000, 0.26366, 48000.00000, 12.11453
355, 10.00000, 30.00000, 0.26441, 48000.00000, 12.13727
356, 10.00000, 30.00000, 0.26515, 48000.00000, 12.15988
357, 10.00000, 30.00000, 0.26589, 48000.00000, 12.18236
358, 10.00000, 30.00000, 0.26664, 48000.00000, 12.20472
359, 10.00000, 30.00000, 0.26738, 48000.00000, 12.22696
360, 10.00000, 30.00000, 0.26813, 48000.00000, 12.24908
361, 10.00000, 30.00000, 0.26887, 48000.00000, 12.27109
362, 10.00000, 30.00000, 0.26962, 48000.00000, 12.29299
