t,x,y
9.28993,68.05048,7.68765
9.28793,68.51010,7.70166
9.28593,68.96973,7.71564
9.28393,69.42969,7.72957
9.28193,69.88979,7.74347
9.27993,70.35031,7.75736
9.27793,70.81088,7.77120
9.27593,71.27209,7.78503
9.27393,71.73343,7.79883
9.27193,72.19525,7.81260
9.26993,72.65725,7.82636
9.26793,73.11954,7.84008
9.26593,73.58255,7.85379
9.26393,74.04527,7.86745
9.26193,74.50843,7.88109
9.25993,74.97211,7.89471
9.25793,75.43597,7.90830
9.25593,75.89983,7.92184
9.25393,76.36409,7.93536
9.25193,76.82872,7.94887
9.24992,77.29387,7.96235
9.24792,77.75908,7.97580
9.24592,78.22452,7.98922
9.24392,78.69048,8.00261
9.24192,79.15649,8.01598
9.23992,79.62251,8.02930
9.23792,80.08962,8.04263
9.23592,80.55605,8.05589
9.23392,81.02332,8.06915
9.23192,81.49106,8.08240
9.22992,81.95859,8.09558
9.22792,82.42683,8.10877
9.22592,82.89504,8.12191
9.22392,83.36314,8.13500
9.22192,83.83222,8.14811
9.21992,84.30138,8.16116
9.21792,84.77027,8.17418
9.21592,85.24039,8.18721
9.21392,85.70953,8.20015
9.21192,86.17976,8.21310
9.20992,86.65034,8.22603
9.20792,87.12056,8.23891
9.20592,87.59177,8.25177
9.20392,88.06281,8.26461
9.20192,88.53414,8.27742
9.19992,89.00561,8.29019
9.19792,89.47745,8.30294
9.19592,89.94949,8.31566
9.19392,90.42137,8.32831
9.19192,90.89389,8.34098
9.18992,91.36687,8.35361
9.18792,91.83986,8.36622
9.18592,92.31300,8.37879
9.18392,92.78655,8.39133
9.18192,93.26031,8.40386
9.17992,93.73424,8.41635
9.17792,94.20869,8.42882
9.17592,94.68277,8.44123
9.17392,95.15739,8.45364
9.17192,95.63219,8.46601
9.16992,96.10708,8.47834
9.16792,96.58231,8.49065
9.16592,97.05801,8.50294
9.16392,97.53363,8.51519
9.16192,98.00913,8.52739
9.15992,98.48550,8.53960
9.15792,98.96221,8.55179
9.15592,99.43912,8.56393
9.15392,99.91522,8.57601
9.15192,100.39223,8.58809
9.14991,100.86937,8.60013
9.14791,101.34678,8.61216
9.14592,101.82409,8.62412
9.14391,102.30203,8.63608
