x,sinx,approx,ex
-7.41158,-0.90373,2.87806,-0.90278
-7.39901,-0.89827,2.87430,-0.89729
-7.38644,-0.89268,2.87053,-0.89166
-7.37386,-0.88694,2.86674,-0.88589
-7.36129,-0.88106,2.86293,-0.87998
-7.34872,-0.87505,2.85911,-0.87393
-7.33615,-0.86889,2.85527,-0.86774
-7.32357,-0.86260,2.85141,-0.86142
-7.31100,-0.85617,2.84754,-0.85497
-7.29843,-0.84961,2.84364,-0.84838
-7.28585,-0.84291,2.83973,-0.84166
-7.27328,-0.83608,2.83580,-0.83481
-7.26071,-0.82912,2.83185,-0.82783
-7.24814,-0.82202,2.82789,-0.82072
-7.23556,-0.81480,2.82390,-0.81348
-7.22299,-0.80744,2.81990,-0.80612
-7.21042,-0.79996,2.81588,-0.79863
-7.19785,-0.79236,2.81184,-0.79102
-7.18527,-0.78462,2.80779,-0.78328
-7.17270,-0.77677,2.80371,-0.77542
-7.16013,-0.76879,2.79962,-0.76745
-7.14756,-0.76069,2.79550,-0.75935
-7.13498,-0.75247,2.79137,-0.75114
-7.12241,-0.74413,2.78722,-0.74281
-7.10984,-0.73567,2.78305,-0.73437
-7.09726,-0.72709,2.77886,-0.72581
-7.08469,-0.71841,2.77465,-0.71715
-7.07212,-0.70960,2.77042,-0.70837
-7.05955,-0.70069,2.76618,-0.69948
-7.04697,-0.69166,2.76191,-0.69049
-7.03440,-0.68253,2.75762,-0.68139
-7.02183,-0.67329,2.75331,-0.67219
-7.00926,-0.66394,2.74899,-0.66288
-6.99668,-0.65448,2.74464,-0.65347
-6.98411,-0.64493,2.74027,-0.64396
-6.97154,-0.63527,2.73589,-0.63435
-6.95897,-0.62551,2.73148,-0.62465
-6.94639,-0.61565,2.72705,-0.61485
-6.93382,-0.60569,2.72260,-0.60495
-6.92125,-0.59564,2.71813,-0.59496
-6.90868,-0.58549,2.71364,-0.58488
-6.89610,-0.57526,2.70913,-0.57471
-6.88353,-0.56493,2.70460,-0.56445
-6.87096,-0.55451,2.70004,-0.55411
-6.85838,-0.54400,2.69547,-0.54367
-6.84581,-0.53341,2.69087,-0.53316
-6.83324,-0.52273,2.68626,-0.52256
-6.82067,-0.51197,2.68162,-0.51188
-6.80809,-0.50113,2.67696,-0.50113
-6.79552,-0.49021,2.67228,-0.49029
-6.78295,-0.47922,2.66757,-0.47938
-6.77038,-0.46815,2.66284,-0.46839
-6.75780,-0.45700,2.65810,-0.45733
-6.74523,-0.44578,2.65333,-0.44620
-6.73266,-0.43449,2.64853,-0.43499
-6.72009,-0.42313,2.64372,-0.42372
-6.70751,-0.41171,2.63888,-0.41238
-6.69494,-0.40022,2.63402,-0.40097
-6.68237,-0.38866,2.62914,-0.38950
-6.66979,-0.37705,2.62423,-0.37797
-6.65722,-0.36538,2.61930,-0.36637
-6.64465,-0.35364,2.61435,-0.35472
-6.63208,-0.34186,2.60937,-0.34300
-6.61950,-0.33001,2.60437,-0.33123
-6.60693,-0.31812,2.59935,-0.31940
-6.59436,-0.30618,2.59431,-0.30752
-6.58179,-0.29418,2.58924,-0.29558
-6.56921,-0.28214,2.58414,-0.28360
-6.55664,-0.27006,2.57902,-0.27156
-6.54407,-0.25793,2.57388,-0.25947
-6.53150,-0.24577,2.56872,-0.24734
-6.51892,-0.23356,2.56352,-0.23516
-6.50635,-0.22132,2.55831,-0.22294
-6.49378,-0.20904,2.55307,-0.21067
-6.48120,-0.19673,2.54781,-0.19836
-6.46863,-0.18439,2.54252,-0.18601
-6.45606,-0.17201,2.53720,-0.17362
-6.44349,-0.15962,2.53186,-0.16119
-6.43091,-0.14719,2.52650,-0.14873
-6.41834,-0.13475,2.52111,-0.13623
-6.40577,-0.12228,2.51570,-0.12370
-6.39320,-0.10979,2.51025,-0.11114
-6.38062,-0.09728,2.50479,-0.09854
-6.36805,-0.08476,2.49930,-0.08591
-6.35548,-0.07223,2.49378,-0.07326
-6.34291,-0.05968,2.48823,-0.06058
-6.33033,-0.04713,2.48266,-0.04787
-6.31776,-0.03457,2.47707,-0.03514
-6.30519,-0.02200,2.47144,-0.02238
-6.29261,-0.00943,2.46579,-0.00960
-6.28004,0.00314,2.46012,0.00320
-6.26747,0.01571,2.45441,0.01599
-6.25490,0.02828,2.44868,0.02876
-6.24232,0.04085,2.44293,0.04151
-6.22975,0.05341,2.43714,0.05423
-6.21718,0.06596,2.43133,0.06692
-6.20461,0.07850,2.42549,0.07959
-6.19203,0.09103,2.41962,0.09223
-6.17946,0.10354,2.41373,0.10484
-6.16689,0.11604,2.40780,0.11742
-6.15432,0.12851,2.40185,0.12997
-6.14174,0.14097,2.39587,0.14249
-6.12917,0.15341,2.38986,0.15497
-6.11660,0.16582,2.38383,0.16741
-6.10402,0.17820,2.37776,0.17982
-6.09145,0.19056,2.37167,0.19219
-6.07888,0.20289,2.36555,0.20452
-6.06631,0.21518,2.35940,0.21681
-6.05373,0.22744,2.35322,0.22905
-6.04116,0.23967,2.34701,0.24125
-6.02859,0.25185,2.34077,0.25341
-6.01602,0.26400,2.33450,0.26552
-6.00344,0.27611,2.32820,0.27758
-5.99087,0.28817,2.32188,0.28959
-5.97830,0.30019,2.31552,0.30156
-5.96573,0.31215,2.30913,0.31347
-5.95315,0.32407,2.30271,0.32532
-5.94058,0.33594,2.29627,0.33712
-5.92801,0.34776,2.28979,0.34886
-5.91544,0.35952,2.28328,0.36055
-5.90286,0.37122,2.27674,0.37218
-5.89029,0.38286,2.27017,0.38374
-5.87772,0.39445,2.26357,0.39524
-5.86515,0.40597,2.25693,0.40668
-5.85257,0.41743,2.25027,0.41806
-5.84000,0.42882,2.24357,0.42936
-5.82743,0.44014,2.23685,0.44060
-5.81485,0.45140,2.23009,0.45177
-5.80228,0.46258,2.22330,0.46287
-5.78971,0.47369,2.21648,0.47389
-5.77714,0.48473,2.20962,0.48484
-5.76456,0.49568,2.20273,0.49572
-5.75199,0.50656,2.19582,0.50651
-5.73942,0.51736,2.18886,0.51723
-5.72685,0.52808,2.18188,0.52787
-5.71427,0.53872,2.17486,0.53843
-5.70170,0.54927,2.16781,0.54890
-5.68913,0.55973,2.16073,0.55929
-5.67655,0.57010,2.15362,0.56959
-5.66398,0.58039,2.14647,0.57981
-5.65141,0.59058,2.13929,0.58993
-5.63884,0.60068,2.13207,0.59997
-5.62626,0.61068,2.12482,0.60991
-5.61369,0.62059,2.11754,0.61976
-5.60112,0.63040,2.11022,0.62951
-5.58855,0.64011,2.10287,0.63917
-5.57597,0.64972,2.09548,0.64873
-5.56340,0.65922,2.08806,0.65819
-5.55083,0.66862,2.08061,0.66755
-5.53826,0.67792,2.07312,0.67680
-5.52568,0.68711,2.06560,0.68595
-5.51311,0.69619,2.05804,0.69500
-5.50054,0.70516,2.05045,0.70394
-5.48796,0.71402,2.04282,0.71277
-5.47539,0.72276,2.03515,0.72150
-5.46282,0.73140,2.02746,0.73011
-5.45025,0.73991,2.01972,0.73861
-5.43767,0.74831,2.01195,0.74699
-5.42510,0.75659,2.00415,0.75526
