ta,ea,ma,ea2,ta2
2.37309,1.37885,0.59354,1.37885,2.37309
2.37937,1.38776,0.60112,1.38776,2.37937
2.38566,1.39675,0.60883,1.39675,2.38566
2.39195,1.40581,0.61668,1.40581,2.39195
2.39823,1.41495,0.62465,1.41495,2.39823
2.40452,1.42416,0.63275,1.42416,2.40452
2.41081,1.43346,0.64099,1.43346,2.41081
2.41709,1.44282,0.64936,1.44282,2.41709
2.42338,1.45227,0.65788,1.45227,2.42338
2.42967,1.46180,0.66654,1.46180,2.42967
2.43595,1.47140,0.67535,1.47140,2.43595
2.44224,1.48109,0.68431,1.48109,2.44224
2.44852,1.49085,0.69341,1.49085,2.44852
2.45481,1.50070,0.70267,1.50070,2.45481
2.46110,1.51064,0.71208,1.51064,2.46110
2.46738,1.52065,0.72166,1.52065,2.46738
2.47367,1.53075,0.73139,1.53075,2.47367
2.47996,1.54093,0.74129,1.54093,2.47996
2.48624,1.55120,0.75136,1.55120,2.48624
2.49253,1.56156,0.76159,1.56156,2.49253
2.49882,1.57200,0.77200,1.57200,2.49882
2.50510,1.58254,0.78259,1.58254,2.50510
2.51139,1.59316,0.79335,1.59316,2.51139
2.51767,1.60387,0.80430,1.60387,2.51768
2.52396,1.61466,0.81543,1.61466,2.52396
2.53025,1.62555,0.82675,1.62555,2.53025
2.53653,1.63654,0.83826,1.63654,2.53653
2.54282,1.64761,0.84997,1.64761,2.54282
2.54911,1.65878,0.86187,1.65878,2.54911
2.55539,1.67004,0.87397,1.67004,2.55539
2.56168,1.68139,0.88628,1.68139,2.56168
2.56797,1.69284,0.89879,1.69284,2.56797
2.57425,1.70439,0.91152,1.70439,2.57425
2.58054,1.71603,0.92445,1.71603,2.58054
2.58682,1.72777,0.93760,1.72777,2.58682
2.59311,1.73961,0.95098,1.73961,2.59311
2.59940,1.75154,0.96457,1.75154,2.59940
2.60568,1.76357,0.97839,1.76357,2.60568
2.61197,1.77571,0.99244,1.77571,2.61197
2.61826,1.78794,1.00673,1.78794,2.61826
2.62454,1.80027,1.02125,1.80027,2.62454
2.63083,1.81271,1.03600,1.81271,2.63083
2.63712,1.82524,1.05100,1.82524,2.63712
2.64340,1.83788,1.06624,1.83788,2.64340
2.64969,1.85062,1.08174,1.85062,2.64969
2.65597,1.86347,1.09748,1.86347,2.65597
2.66226,1.87641,1.11348,1.87641,2.66226
2.66855,1.88946,1.12974,1.88946,2.66855
2.67483,1.90262,1.14626,1.90262,2.67483
2.68112,1.91588,1.16304,1.91588,2.68112
2.68741,1.92924,1.18009,1.92924,2.68741
2.69369,1.94271,1.19741,1.94271,2.69369
2.69998,1.95629,1.21500,1.95629,2.69998
2.70626,1.96997,1.23287,1.96997,2.70626
2.71255,1.98376,1.25101,1.98376,2.71255
2.71884,1.99766,1.26944,1.99766,2.71884
2.72512,2.01166,1.28815,2.01166,2.72512
2.73141,2.02576,1.30714,2.02576,2.73141
2.73770,2.03998,1.32643,2.03998,2.73770
2.74398,2.05430,1.34600,2.05430,2.74398
2.75027,2.06872,1.36586,2.06872,2.75027
2.75656,2.08326,1.38603,2.08326,2.75656
2.76284,2.09790,1.40648,2.09790,2.76284
2.76913,2.11264,1.42724,2.11264,2.76913
2.77541,2.12750,1.44830,2.12750,2.77541
2.78170,2.14246,1.46965,2.14246,2.78170
2.78799,2.15752,1.49132,2.15752,2.78799
2.79427,2.17269,1.51328,2.17269,2.79427
2.80056,2.18797,1.53555,2.18797,2.80056
2.80685,2.20335,1.55813,2.20335,2.80685
2.81313,2.21883,1.58101,2.21883,2.81313
2.81942,2.23442,1.60421,2.23442,2.81942
2.82571,2.25011,1.62771,2.25011,2.82571
2.83199,2.26591,1.65152,2.26591,2.83199
